#user_id_fingerprint	#actor_id_fingerprint	#post_id_fingerprint	#post_timestamp	#action_timestamp	#user_timezone
-2274800240236654561	-8914163846962423424	-5859081076155997032	1413331185998	1413343467000	Eastern Standard Time
-2274800240236654561	425788500309077081	-5859081076155997032	1413331185998	1413415090000	Eastern Standard Time
-8400501066865954048	1297992805610455342	-1322889990441966632	1413331185998	1413347721999	Pacific Standard Time
-8400501066865954048	8811140190256689700	-1322889990441966632	1413331185998	1413334374001	Pacific Standard Time
1886509461375029772	4489851172075101163	8822492853784406565	1413331185998	1413403288999	Eastern Standard Time
-8400501066865954048	-2976971478070349564	-1322889990441966632	1413331185997	1413338220001	Pacific Standard Time
-8400501066865954048	8811140190256689700	-1322889990441966632	1413331185997	1413334313998	Pacific Standard Time
-2274800240236654561	5902694332514857648	-5859081076155997032	1413331185997	1413331512999	Eastern Standard Time
1175831732714792274	-1898783756472882543	6331871181460638670	1413331185000	1413331402999	Pacific Standard Time
-6706672133232357997	3971464748451463905	-6738944956849682667	1413331184998	1413339186998	Central Standard Time
-6706672133232357997	-5109875859339329883	-6738944956849682667	1413331184998	1413334943000	Central Standard Time
544357670806690555	-9024595695375801988	-4224767604537800297	1413331184998	1413332499999	Eastern Standard Time
1175831732714792274	-2799399763889488167	6331871181460638670	1413331184997	1413331432999	Pacific Standard Time
118295643956488199	-7627381264834122429	8883243630783541100	1413331184002	1413331969999	Pacific Standard Time
3299548370216286300	-8089839344073752960	6762816967063483966	1413331184002	1413333193000	Eastern Standard Time
-6325316822803538233	7543431978470638363	-1929172611772583479	1413331184002	1413390465001	Pacific Standard Time
3299548370216286300	-3528495429793468201	6762816967063483966	1413331184001	1413401982001	Eastern Standard Time
118295643956488199	-7627381264834122429	8883243630783541100	1413331184001	1413343589999	Pacific Standard Time
-6325316822803538233	8895829675762262310	-1929172611772583479	1413331184001	1413331297999	Pacific Standard Time
3299548370216286300	-8089839344073752960	6762816967063483966	1413331184000	1413332046001	Eastern Standard Time
2784037437046523803	-1075068117104634689	6180967453144248582	1413331183999	1413354372999	Mountain Standard Time
3299548370216286300	-8089839344073752960	6762816967063483966	1413331183999	1413333704001	Eastern Standard Time
-8822326813642430678	-1165501945368705873	7665754021831629024	1413331183998	1413343084001	Pacific Standard Time
118295643956488199	-7627381264834122429	8883243630783541100	1413331183998	1413340909000	Pacific Standard Time
2784037437046523803	-1075068117104634689	6180967453144248582	1413331183997	1413354472000	Mountain Standard Time
3299548370216286300	-8089839344073752960	6762816967063483966	1413331183997	1413333711998	Eastern Standard Time
2784037437046523803	9058549492976159719	6180967453144248582	1413331183997	1413339837000	Mountain Standard Time
1081230055693181388	7125232481809221134	6317428930669399851	1413331183002	1413334309001	Eastern Standard Time
5377299450249999528	-7715238259339990713	4875374540458600020	1413331182002	1413337262998	Eastern Standard Time
5377299450249999528	-6110990055714428437	4875374540458600020	1413331182002	1413333764998	Eastern Standard Time
1399767688545477634	9058549492976159719	-1191945399933177113	1413331182001	1413336689001	Pacific Standard Time
1399767688545477634	-7957387726432305811	-1191945399933177113	1413331182001	1413332866999	Pacific Standard Time
1399767688545477634	-2555247166381504747	-1191945399933177113	1413331182001	1413352334000	Pacific Standard Time
1399767688545477634	279612796310043688	-1191945399933177113	1413331182001	1413333594000	Pacific Standard Time
1399767688545477634	3706773154446692531	-1191945399933177113	1413331182001	1413338982999	Pacific Standard Time
1399767688545477634	-8434621607290301255	-1191945399933177113	1413331181998	1413389768999	Pacific Standard Time
5377299450249999528	3127456441453870035	4875374540458600020	1413331181998	1413331791000	Eastern Standard Time
1399767688545477634	-8314269317702064347	-1191945399933177113	1413331181998	1413336628999	Pacific Standard Time
-6382604984998535919	-555922023705163031	-3262480016999084345	1413331181001	1413345890999	Central Standard Time
-6382604984998535919	-555922023705163031	-3262480016999084345	1413331181001	1413345888999	Central Standard Time
6607028524976802463	4758426874193380989	-588838893519341419	1413331181000	1413337690001	Eastern Standard Time
8952173949352038800	-6595379953723809892	-8720579898813748425	1413331181000	1413332810000	Eastern Standard Time
-6382604984998535919	67229087510896241	-3262480016999084345	1413331180999	1413338386999	Central Standard Time
-6382604984998535919	390792879920036026	-3262480016999084345	1413331180999	1413331751999	Central Standard Time
-2255036624342898247	3861516816611284819	-2501933594148744064	1413331180999	1413332459999	Central Standard Time
-6382604984998535919	-5345836466274503565	-3262480016999084345	1413331180999	1413383859000	Central Standard Time
-6382604984998535919	8283403620228651288	-3262480016999084345	1413331180999	1413338479000	Central Standard Time
-6382604984998535919	1783709683433321147	-3262480016999084345	1413331180998	1413336097998	Central Standard Time
-517481656641460411	8230265933701696983	-7455284890353002037	1413331180998	1413377699000	Eastern Standard Time
-2255036624342898247	3861516816611284819	-2501933594148744064	1413331180997	1413331230999	Central Standard Time
-3848482692549983784	-9150119000466752448	8719322518002752410	1413331179999	1413342836999	Central Standard Time
-3848482692549983784	6320035269294991204	8719322518002752410	1413331179999	1413414449000	Central Standard Time
-9191223092286609265	-8334863057232213674	9021527184672543472	1413331179999	1413331573001	Eastern Standard Time
-3848482692549983784	4385021710526453559	8719322518002752410	1413331179998	1413337997000	Central Standard Time
-3147867452300322478	2747597559695235776	-4939550697970007486	1413331179998	1413336750999	Fernando de Noronha Time
-9191223092286609265	-72463011753349359	9021527184672543472	1413331179997	1413389087998	Eastern Standard Time
9206977031375429169	-4813344422998930975	5551774359782787862	1413331179997	1413346372998	Pacific Standard Time
263508252674134837	-3532257673853642330	7216069079477035526	1413331179001	1413332038998	Eastern Standard Time
-5021585864484917341	-5327697117599569490	-1230787787428796972	1413331179001	1413334260999	Hawaii-Aleutian Standard Time
263508252674134837	-5995328256407066961	7216069079477035526	1413331179000	1413331383998	Eastern Standard Time
263508252674134837	-8384080413557086061	7216069079477035526	1413331179000	1413332202001	Eastern Standard Time
6807492327207160430	8363586754565700248	-3682548961309967417	1413331179000	1413332575999	Eastern Standard Time
263508252674134837	-4442533322980606535	7216069079477035526	1413331178999	1413335942000	Eastern Standard Time
263508252674134837	-2199576108423143925	7216069079477035526	1413331178998	1413331369001	Eastern Standard Time
-5021585864484917341	-961911925967618031	-1230787787428796972	1413331178998	1413345139998	Hawaii-Aleutian Standard Time
263508252674134837	7031922199893484631	7216069079477035526	1413331178997	1413331928999	Eastern Standard Time
263508252674134837	-3532257673853642330	7216069079477035526	1413331178997	1413331768001	Eastern Standard Time
-6654459454091087961	3533630390998276844	6445444506810456893	1413331177998	1413332049999	Eastern Standard Time
-6370927499498177042	7101991615753571513	-8724603733146771916	1413331177002	1413390972000	Eastern Standard Time
-6370927499498177042	7629113231310308262	-8724603733146771916	1413331177002	1413333983999	Eastern Standard Time
7713326019955621170	-3140115242241401341	-4297375967503758380	1413331177002	1413405510998	Eastern Standard Time
2670008191663270075	1790409287658555560	-8269858334496510192	1413331177002	1413337222999	Eastern Standard Time
-7074474484076945887	500003851491959726	-3016458050249853505	1413331177002	1413384956998	Pacific Standard Time
2670008191663270075	-5947355622637179330	-8269858334496510192	1413331177002	1413371507998	Eastern Standard Time
2670008191663270075	-2265815181652445513	-8269858334496510192	1413331177002	1413380620999	Eastern Standard Time
2670008191663270075	427944320962336197	-8269858334496510192	1413331177002	1413335511999	Eastern Standard Time
2670008191663270075	-7272336625787912820	-8269858334496510192	1413331177001	1413335283000	Eastern Standard Time
2670008191663270075	5347104592917851358	-8269858334496510192	1413331177001	1413408271999	Eastern Standard Time
-6370927499498177042	7771496209813943322	-8724603733146771916	1413331177001	1413379932999	Eastern Standard Time
2670008191663270075	-7272336625787912820	-8269858334496510192	1413331177001	1413337101000	Eastern Standard Time
